YEAR,ØST,AKER,HED,OPPL,BUSK,VEST,TELM,AU_AG,VE_AG,ROGL,HORD,SOGN,MØRE,SØRT,NORT,NORD,TROM,FINN,OSLO,Unknown_hunting_county,Total,Agder,Innlandet,Troms_og_Finnmark,Trøndelag,Vestfold_og_Telemark,Vestland,Viken
1846,2,4,14,7,9,2,27,3,7,4,2,10,9,9,3,0,0,NA,NA,NA,112,,,,,,,
1847,0,8,16,4,19,6,16,17,2,0,0,9,7,7,4,2,0,NA,NA,NA,117,,,,,,,
1848,2,11,29,9,13,2,23,7,10,0,0,2,11,11,18,0,0,NA,NA,NA,148,,,,,,,
1849,1,3,8,8,20,10,20,6,5,0,0,1,7,7,9,0,0,NA,NA,NA,105,,,,,,,
1850,5,7,13,7,7,5,21,18,14,1,0,1,2,2,9,1,0,NA,NA,NA,113,,,,,,,
1851,3,4,14,7,11,5,13,11,5,1,0,3,4,4,10,2,0,NA,NA,NA,97,,,,,,,
1852,3,4,13,6,9,2,24,13,12,2,0,4,8,8,5,0,0,NA,NA,NA,113,,,,,,,
1853,3,4,24,2,3,1,7,11,23,0,0,3,10,10,10,0,0,NA,NA,NA,111,,,,,,,
1854,3,4,21,5,2,1,16,6,6,3,1,0,9,9,11,0,0,NA,NA,NA,97,,,,,,,
1855,3,1,32,0,0,0,8,14,14,0,0,3,4,4,23,0,0,NA,NA,NA,106,,,,,,,
1856,0,2,22,5,4,0,7,4,11,0,0,0,4,4,15,0,0,NA,NA,NA,78,,,,,,,
1857,2,5,37,6,8,1,21,9,10,0,0,1,7,7,18,0,0,NA,NA,NA,132,,,,,,,
1858,3,5,24,10,8,0,15,12,6,0,0,0,4,4,33,0,0,NA,NA,NA,124,,,,,,,
1859,0,5,23,4,7,3,9,14,8,0,0,0,2,2,16,0,0,NA,NA,NA,93,,,,,,,
1860,0,7,23,14,9,1,26,14,7,1,5,0,11,11,23,0,0,NA,NA,NA,152,,,,,,,
1861,2,5,19,3,3,1,23,7,2,2,0,2,6,6,7,0,0,NA,NA,NA,88,,,,,,,
1862,0,1,25,2,5,0,9,8,0,4,1,1,9,9,8,0,0,NA,NA,NA,82,,,,,,,
1863,1,0,19,6,0,0,7,22,0,1,0,3,5,5,17,0,0,NA,NA,NA,86,,,,,,,
1864,0,3,15,5,14,0,14,24,2,8,0,7,10,10,27,0,0,NA,NA,NA,139,,,,,,,
1865,2,2,36,9,11,1,10,11,5,4,0,2,9,9,23,0,0,NA,NA,NA,134,,,,,,,
1866,0,6,16,11,46,4,24,14,3,1,0,8,15,15,22,2,0,0,NA,NA,187,,,,,,,
1867,0,5,16,9,46,4,24,14,3,1,0,7,14,14,22,2,0,0,NA,NA,181,,,,,,,
1868,0,5,16,6,45,4,24,14,3,1,0,7,14,14,22,2,0,0,NA,NA,177,,,,,,,
1869,0,5,16,13,45,4,24,13,3,1,0,7,14,14,22,1,0,0,NA,NA,182,,,,,,,
1870,0,5,16,7,45,4,24,13,2,0,0,7,14,14,22,1,0,0,NA,NA,174,,,,,,,
1871,1,1,11,8,59,5,9,3,0,0,0,4,13,13,26,0,0,0,NA,NA,153,,,,,,,
1872,0,7,0,6,21,2,24,8,0,0,0,5,8,8,19,1,0,0,NA,NA,109,,,,,,,
1873,1,6,11,8,14,1,18,6,0,0,0,2,6,6,12,1,0,0,NA,NA,92,,,,,,,
1874,0,9,19,6,29,9,21,6,0,0,0,6,6,6,24,0,0,0,NA,NA,141,,,,,,,
1875,1,6,12,12,55,3,30,5,0,0,0,10,13,13,28,4,0,0,NA,NA,192,,,,,,,
1876,0,4,30,9,32,2,15,10,0,3,1,6,13,13,13,1,0,0,NA,NA,152,,,,,,,
1877,0,7,14,3,30,3,34,11,4,0,0,3,18,18,16,1,0,0,NA,NA,162,,,,,,,
1878,1,10,7,1,16,7,14,4,0,1,0,6,8,8,15,0,0,0,NA,NA,98,,,,,,,
1879,0,5,8,11,8,3,17,9,1,0,0,0,8,8,23,7,0,0,NA,NA,108,,,,,,,
1880,0,4,2,1,5,1,10,9,0,0,0,0,7,7,4,0,0,0,NA,NA,50,,,,,,,
1881,0,2,5,4,17,1,8,16,0,0,0,0,4,4,14,0,0,0,NA,NA,75,,,,,,,
1882,0,1,2,1,3,0,5,11,0,0,0,0,3,3,14,4,0,0,NA,NA,47,,,,,,,
1883,0,5,4,2,10,3,20,6,0,0,0,0,0,0,13,11,0,0,NA,NA,74,,,,,,,
1884,0,10,3,3,15,0,11,5,0,2,0,1,6,6,10,4,0,0,NA,NA,76,,,,,,,
1885,0,6,5,2,13,0,25,18,1,0,0,2,8,8,17,7,0,0,NA,NA,112,,,,,,,
1886,0,1,2,3,5,7,21,5,0,0,0,1,10,10,5,3,0,0,NA,NA,73,,,,,,,
1887,0,1,5,0,8,7,25,2,0,2,0,0,9,9,12,2,0,0,NA,NA,82,,,,,,,
1888,1,1,1,1,8,6,11,12,0,0,0,8,12,12,9,0,0,0,NA,NA,82,,,,,,,
